Count,City,URL
27 of 500,hermanus,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=hermanus
28 of 500,flin flon,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=flin flon
29 of 500,cidreira,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=cidreira
30 of 500,monticello,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=monticello
32 of 500,rikitea,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=rikitea
33 of 500,salinopolis,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=salinopolis
35 of 500,pamanukan,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=pamanukan
36 of 500,rikitea,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=rikitea
37 of 500,sorong,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=sorong
38 of 500,kununurra,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=kununurra
39 of 500,cabo san lucas,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=cabo san lucas
40 of 500,port elizabeth,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=port elizabeth
41 of 500,saint pete beach,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=saint pete beach
42 of 500,ilulissat,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=ilulissat
43 of 500,muroto,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=muroto
44 of 500,busselton,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=busselton
45 of 500,vostok,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=vostok
46 of 500,kapaa,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=kapaa
47 of 500,avarua,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=avarua
48 of 500,portland,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=portland
50 of 500,atuona,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=atuona
51 of 500,yellowknife,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=yellowknife
52 of 500,punta arenas,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=punta arenas
53 of 500,arlit,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=arlit
54 of 500,half moon bay,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=half moon bay
55 of 500,nanortalik,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=nanortalik
56 of 500,sitangkai,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=sitangkai
57 of 500,vanimo,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=vanimo
58 of 500,ushuaia,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=ushuaia
61 of 500,cortez,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=cortez
62 of 500,dingle,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=dingle
63 of 500,paamiut,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=paamiut
64 of 500,bengkulu,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=bengkulu
65 of 500,taoudenni,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=taoudenni
66 of 500,arraial do cabo,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=arraial do cabo
67 of 500,punta arenas,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=punta arenas
68 of 500,busselton,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=busselton
69 of 500,tasiilaq,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=tasiilaq
70 of 500,toledo,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=toledo
72 of 500,rikitea,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=rikitea
74 of 500,ushuaia,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=ushuaia
76 of 500,pandan niog,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=pandan niog
78 of 500,bluff,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=bluff
79 of 500,kikwit,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=kikwit
80 of 500,talnakh,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=talnakh
81 of 500,mahebourg,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=mahebourg
82 of 500,puerto baquerizo moreno,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=puerto baquerizo moreno
83 of 500,tuktoyaktuk,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=tuktoyaktuk
85 of 500,mar del plata,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=mar del plata
86 of 500,los llanos de aridane,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=los llanos de aridane
87 of 500,kodiak,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=kodiak
88 of 500,vaini,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=vaini
89 of 500,tuburan,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=tuburan
90 of 500,cape town,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=cape town
91 of 500,constitucion,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=constitucion
92 of 500,port macquarie,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=port macquarie
93 of 500,albany,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=albany
97 of 500,rikitea,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=rikitea
98 of 500,barrow,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=barrow
99 of 500,grand gaube,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=grand gaube
101 of 500,shuangcheng,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=shuangcheng
103 of 500,margate,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=margate
104 of 500,rikitea,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=rikitea
105 of 500,ketchikan,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=ketchikan
106 of 500,taltal,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=taltal
107 of 500,hobart,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=hobart
108 of 500,luderitz,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=luderitz
109 of 500,puerto penasco,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=puerto penasco
110 of 500,katsuura,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=katsuura
111 of 500,bengkulu,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=bengkulu
112 of 500,praia,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=praia
113 of 500,punta arenas,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=punta arenas
115 of 500,avarua,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=avarua
117 of 500,jamestown,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=jamestown
119 of 500,bossangoa,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=bossangoa
120 of 500,tasiilaq,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=tasiilaq
121 of 500,kodiak,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=kodiak
122 of 500,bambous virieux,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=bambous virieux
126 of 500,hamilton,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=hamilton
127 of 500,bressuire,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=bressuire
129 of 500,fukue,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=fukue
130 of 500,palmer,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=palmer
131 of 500,mehamn,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=mehamn
132 of 500,thompson,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=thompson
134 of 500,bathsheba,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=bathsheba
135 of 500,tautira,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=tautira
136 of 500,alofi,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=alofi
137 of 500,avarua,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=avarua
138 of 500,port elizabeth,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=port elizabeth
139 of 500,hobart,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=hobart
140 of 500,borogontsy,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=borogontsy
141 of 500,hofn,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=hofn
142 of 500,butaritari,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=butaritari
143 of 500,tuktoyaktuk,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=tuktoyaktuk
144 of 500,harwich,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=harwich
145 of 500,abha,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=abha
146 of 500,imbituba,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=imbituba
147 of 500,los llanos de aridane,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=los llanos de aridane
149 of 500,kodiak,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=kodiak
151 of 500,albany,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=albany
152 of 500,te anau,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=te anau
153 of 500,barrow,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=barrow
154 of 500,north platte,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=north platte
155 of 500,mehamn,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=mehamn
156 of 500,popovo,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=popovo
157 of 500,lasa,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=lasa
158 of 500,atuona,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=atuona
160 of 500,punta arenas,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=punta arenas
161 of 500,guaymango,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=guaymango
162 of 500,arlit,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=arlit
163 of 500,hami,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=hami
165 of 500,vaini,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=vaini
166 of 500,albany,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=albany
167 of 500,yellowknife,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=yellowknife
168 of 500,cedar city,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=cedar city
169 of 500,castro,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=castro
170 of 500,andenes,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=andenes
172 of 500,mount isa,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=mount isa
174 of 500,hwange,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=hwange
175 of 500,port-gentil,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=port-gentil
176 of 500,poya,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=poya
177 of 500,port lincoln,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=port lincoln
178 of 500,darab,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=darab
179 of 500,codrington,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=codrington
180 of 500,kahului,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=kahului
181 of 500,nizwa,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=nizwa
182 of 500,mahebourg,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=mahebourg
183 of 500,rochester,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=rochester
184 of 500,abu dhabi,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=abu dhabi
185 of 500,buraydah,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=buraydah
186 of 500,dikson,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=dikson
188 of 500,tasiilaq,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=tasiilaq
189 of 500,eyl,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=eyl
190 of 500,benemerito de las americas,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=benemerito de las americas
191 of 500,bluff,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=bluff
192 of 500,ushuaia,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=ushuaia
193 of 500,kisangani,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=kisangani
196 of 500,dikson,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=dikson
197 of 500,atar,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=atar
198 of 500,castro,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=castro
199 of 500,mildura,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=mildura
200 of 500,bredasdorp,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=bredasdorp
201 of 500,bethel,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=bethel
202 of 500,bankura,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=bankura
203 of 500,busselton,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=busselton
204 of 500,bluefield,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=bluefield
206 of 500,oussouye,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=oussouye
207 of 500,mahebourg,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=mahebourg
208 of 500,cumra,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=cumra
209 of 500,kruisfontein,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=kruisfontein
210 of 500,svetlogorsk,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=svetlogorsk
212 of 500,cuauhtemoc,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=cuauhtemoc
213 of 500,puerto rico,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=puerto rico
214 of 500,vaini,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=vaini
215 of 500,ushuaia,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=ushuaia
216 of 500,leningradskiy,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=leningradskiy
217 of 500,sistranda,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=sistranda
218 of 500,nome,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=nome
219 of 500,bredasdorp,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=bredasdorp
220 of 500,punta arenas,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=punta arenas
221 of 500,ushuaia,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=ushuaia
222 of 500,yokadouma,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=yokadouma
223 of 500,punta arenas,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=punta arenas
224 of 500,cape town,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=cape town
225 of 500,tuktoyaktuk,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=tuktoyaktuk
226 of 500,bluff,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=bluff
227 of 500,jamestown,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=jamestown
229 of 500,myitkyina,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=myitkyina
232 of 500,kapaa,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=kapaa
233 of 500,carnot,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=carnot
